1600,0.1,200,21746,2821061800
1600,0.2,150,32566,3607899600
1600,0.2,175,38004,4705724500
1600,0.2,200,43015,5106269400
1600,0.3,150,49438,5011270500
1600,0.3,175,56597,6173530300
1600,0.3,200,64148,7462748400
1600,0.4,150,68878,6230840100
1600,0.4,175,76826,7879097100
1600,0.4,200,86452,9171059100
1600,0.5,175,103063,9340249500
1600,0.5,200,110353,11985186900
1700,0.1,150,17545,2171186300
1700,0.1,175,20146,2553005800
1700,0.1,200,23022,3281042200
1700,0.2,150,34688,3931515500
1700,0.2,175,40525,5096232900
1700,0.2,200,45707,5874917900
1700,0.3,150,52905,5692885000
1700,0.3,175,60430,6976727100
1700,0.3,200,67980,8352419900
1700,0.4,150,74690,6954457500
1700,0.4,175,82106,8768371300
1700,0.4,200,92070,10637133300
1700,0.5,200,119267,14170761800
1800,0.1,150,18436,2377846100
1800,0.1,175,21396,3084974900
1800,0.1,200,24328,3744464100
1800,0.2,150,36593,4703487700
1800,0.2,175,42676,5940954600
1800,0.2,200,48384,7129705200
1800,0.3,150,56109,6807603500
1800,0.3,175,63833,8034506600
1800,0.3,200,72300,9981079900
1800,0.4,150,80771,8645073900
1800,0.4,175,87825,10918887300
1800,0.4,200,97400,12956593100
1800,0.5,200,128713,15510506700
1900,0.1,150,19558,2725188300
1900,0.1,175,22474,3645348800
1900,0.1,200,25697,4242830600
1900,0.2,150,38890,5431456700
1900,0.2,175,44993,6747922000
1900,0.2,200,51239,7976657100
1900,0.3,150,59533,7897826700
1900,0.3,175,67720,9187943200
1900,0.3,200,76473,11316177900
1900,0.4,175,94351,11819456000
1900,0.4,200,104063,14122861800
1900,0.5,200,139724,18097744500
2000,0.1,150,20632,3041954600
2000,0.1,175,23632,4139523300
2000,0.1,200,26912,4793104800
2000,0.2,150,40727,5948166600
2000,0.2,175,47357,7930992600
2000,0.2,200,53748,8755214700
2000,0.3,150,63004,8654825700
2000,0.3,175,71600,10533998700
2000,0.3,200,80576,12399236000
2000,0.4,175,99915,12989653500
2000,0.4,200,109617,16309977100
